Linux 6.2.0-37-generic (orange) 	2026年04月03日 	_x86_64_	(20 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
22时09分31秒     0         1    0.00    0.00    0.00    0.00    0.00     6    498.02      0.00   24696   11592   0.04     -1.00     -1.00     -1.00       0  systemd
22时09分31秒     0       510    0.00    0.00    0.00    0.00    0.00     8     83.17      0.00  252640  127532   0.39     -1.00     -1.00     -1.00       0  systemd-journal
22时09分31秒     0      1548    2.97    1.98    0.00    0.00    4.95     8     23.76      0.00 2767756   29420   0.09     -1.00     -1.00     -1.00       0  containerd
22时09分31秒     0    596836    0.99    0.00    0.00    0.00    0.99     8      0.00      0.00   12544    2880   0.01     -1.00     -1.00     -1.00       0  sadc
22时09分31秒     0    881911    0.00    0.00    0.00    0.00    0.00    10     21.78      0.00   15792    9280   0.03     -1.00     -1.00     -1.00       0  sshd
22时09分31秒 65534   2800480    0.00    0.99    0.00    0.00    0.99     6      0.00      0.00 1258724   23324   0.07     -1.00     -1.00     -1.00       0  alertmanager
22时09分31秒   472   2800489    2.97    0.00    0.00    0.00    2.97    15      0.00      0.00 1699720  128752   0.39     -1.00     -1.00     -1.00       0  grafana
22时09分31秒 65534   2800500    0.99    0.00    0.00    0.00    0.99     5      0.00      0.00 1655952   67756   0.21     -1.00     -1.00     -1.00       0  prometheus
22时09分31秒  1032   3888744    0.00    0.99    0.00    0.00    0.99     2      0.00      0.00   79996   25112   0.08      0.00      0.00      0.00       0  code-e7fb5e96c0
22时09分31秒  1032   3889123    0.99    0.00    0.00    0.00    0.99    15      0.00      0.00 11836296  112476   0.34      0.00      0.00      0.00       0  node
22时09分31秒  1032   3889253    0.00    0.00    0.00    0.00    0.00     6     51.49      0.00 98014868 1218544   3.73      0.00      0.00      0.00       0  node
22时09分31秒  1032   3889284    0.00    0.00    0.00    0.00    0.00     8      0.99      0.00 1170124   78296   0.24      0.00      0.00      0.00       0  node
22时09分31秒     0   3900845    0.00    0.00    0.00    0.00    0.00     2    205.94      0.00   18424   10720   0.03     -1.00     -1.00     -1.00       0  sshd
22时09分31秒   129   3900846    0.00    0.00    0.00    0.00    0.00     6      2.97      0.00   15920    6396   0.02     -1.00     -1.00     -1.00       0  sshd
22时09分31秒  1032   3900868    0.00    0.99    0.00    0.00    0.99     2     26.73      0.00   16184    7200   0.02      0.00      0.00      0.00       0  pidstat
22时09分31秒     0   3900876    0.00    0.00    0.00    0.00    0.00     4    549.50      0.00   11376    2080   0.01     -1.00     -1.00     -1.00       0  sleep
