Linux 6.2.0-37-generic (orange) 	2026年04月01日 	_x86_64_	(20 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
00时10分35秒     0         1    1.00    0.00    0.00    0.00    1.00     8    360.00      0.00   24696   11432   0.04     -1.00     -1.00     -1.00       0  systemd
00时10分35秒     0       510    0.00    0.00    0.00    0.00    0.00     6    108.00      0.00  220060  100960   0.31     -1.00     -1.00     -1.00       0  systemd-journal
00时10分35秒     0    596836    1.00    0.00    0.00    0.00    1.00     8      0.00      0.00   12544    2880   0.01     -1.00     -1.00     -1.00       0  sadc
00时10分35秒   133   1785719    0.00    1.00    0.00    0.00    1.00    10      0.00      0.00 2442348   27492   0.08     -1.00     -1.00     -1.00       0  mysqld
00时10分35秒     0   2104106    1.00    0.00    0.00    0.00    1.00    10      0.00      0.00 1244904   10872   0.03     -1.00     -1.00     -1.00       0  frpc
00时10分35秒  1032   2687578    1.00    0.00    0.00    0.00    1.00     8    414.00      0.00 1173452   80552   0.25      0.00      0.00      0.00       0  node
00时10分35秒  1032   2714096   10.00    1.00    0.00    0.00   11.00    10      9.00      0.00 87387436 1657340   5.08      0.00    936.00      0.00       0  node
00时10分35秒  1032   2714115    2.00    1.00    0.00    0.00    3.00     6      0.00      0.00 1332832  161436   0.49      0.00      0.00      0.00       0  node
00时10分35秒  1032   2714327    0.00    0.00    0.00    0.00    0.00     8      0.00      0.00  611688  118088   0.36      0.00      0.00      0.00       0  codex
00时10分35秒  1032   2738181    1.00    1.00    0.00    0.00    2.00     3      0.00      0.00   19312    6924   0.02     -1.00     -1.00     -1.00       0  sshd
00时10分35秒  1032   2738202    2.00    2.00    0.00    0.00    4.00    17      0.00      0.00   78884   21972   0.07      0.00      0.00      0.00       0  code-cfbea10c5f
00时10分35秒  1032   2738762    0.00    1.00    0.00    0.00    1.00     6      0.00      0.00  326204    7360   0.02      0.00      0.00      0.00       0  adb
00时10分35秒  1032   2860348    1.00    0.00    0.00    0.00    1.00     8     61.00      0.00   16052    7040   0.02      0.00      0.00      0.00       0  pidstat
00时10分35秒  1032   2860353    0.00    0.00    0.00    0.00    0.00     1    113.00      0.00    2796    1600   0.00      0.00      0.00      0.00       0  sh
00时10分35秒  1032   2860354    0.00    0.00    0.00    0.00    0.00    10    287.00      0.00   13032    3840   0.01      0.00      0.00      0.00       0  cpuUsage.sh
00时10分35秒  1032   2860359    0.00    0.00    0.00    0.00    0.00     8    101.00      0.00   11376    2080   0.01      0.00      0.00      0.00       0  sleep
00时10分35秒     0   2860361    0.00    1.00    0.00    0.00    1.00     8   1140.00      0.00  724140   10880   0.03     -1.00     -1.00     -1.00       0  frpc
