Linux 6.2.0-37-generic (orange) 	04/03/26 	_x86_64_	(20 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
01:20:48        0         1    0.00    0.99    0.00    0.00    0.99     4    566.34      0.00   24696   11432   0.04     -1.00     -1.00     -1.00       0  systemd
01:20:48        0        77    0.00    0.99    0.00    0.00    0.99    10      0.00      0.00       0       0   0.00     -1.00     -1.00     -1.00       0  ksoftirqd/10
01:20:48        0       510    0.00    0.00    0.00    0.00    0.00     6     68.32      0.00  281688  145744   0.45     -1.00     -1.00     -1.00       0  systemd-journal
01:20:48      102      1281    0.99    0.00    0.00    0.00    0.99     2      0.00      0.00   19588   11360   0.03     -1.00     -1.00     -1.00       0  dbus-daemon
01:20:48      472   2800489    0.99    0.00    0.00    0.00    0.99    19      0.00      0.00 1700112  126892   0.39     -1.00     -1.00     -1.00       0  grafana
01:20:48     1032   3461412    0.99    0.00    0.00    0.00    0.99    13      0.00      0.00   82708   26252   0.08      0.00      0.00      0.00       0  code-cfbea10c5f
01:20:48     1032   3461491    0.00    0.99    0.00    0.00    0.99     8      0.00      0.00 11940728  219184   0.67      0.00      0.00      0.00       0  node
01:20:48     1032   3461621    0.00    0.99    0.00    0.00    0.99     2      0.99      0.00 76617376 1289460   3.95      0.00      0.00      0.00       0  node
01:20:48     1032   3462184    2.97    0.99    0.00    0.00    3.96     9    573.27      0.00  658432  122196   0.37      0.00    724.75    110.89       0  codex
01:20:48     1032   3495995    0.99    0.00    0.00    0.00    0.99     0      0.00      0.00 1103148   72472   0.22      0.00      0.00      0.00       0  node
01:20:48     1032   3618394    0.00    1.98    0.00    0.00    1.98     6     31.68      0.00   16448    6720   0.02      0.00      0.00      0.00       0  pidstat
