Linux 6.2.0-37-generic (orange) 	2026年04月01日 	_x86_64_	(20 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03时31分26秒     0      1379    0.99    0.00    0.00    0.00    0.99     2      0.00      0.00  562036    9748   0.03     -1.00     -1.00     -1.00       0  NetworkManager
03时31分26秒  1032   2687578    0.00    0.00    0.00    0.00    0.00    10     15.84      0.00 1173452   81032   0.25      0.00      0.00      0.00       0  node
03时31分26秒  1032   2714096    6.93    0.99    0.00    0.00    7.92     8      0.00      0.00 87397916 1669428   5.12      0.00    308.91      0.00       0  node
03时31分26秒  1032   2714115    0.00    0.99    0.00    0.00    0.99    14      0.00      0.00 1332832  161436   0.49      0.00      0.00      0.00       0  node
03时31分26秒  1032   2715337    0.99    0.00    0.00    0.00    0.99    10      0.00      0.00 1102188   76628   0.23      0.00      0.00      0.00       0  node
03时31分26秒  1032   2738181    0.00    0.99    0.00    0.00    0.99    10      0.00      0.00   19312    6924   0.02     -1.00     -1.00     -1.00       0  sshd
03时31分26秒  1032   2738202    0.99    0.99    0.00    0.00    1.98     4      0.00      0.00   78996   21784   0.07      0.00      0.00      0.00       0  code-cfbea10c5f
03时31分26秒  1038   2791376    0.00    0.99    0.00    0.00    0.99     6      0.00      0.00 1282108   52552   0.16     -1.00     -1.00     -1.00       0  mihomo
03时31分26秒     0   2799858    0.99    0.00    0.00    0.00    0.99    10      0.00      0.00 3457316   99692   0.31     -1.00     -1.00     -1.00       0  dockerd
03时31分26秒  1032   2911464    0.00    1.98    0.00    0.00    1.98     6     59.41      0.00   16184    7200   0.02      0.00      0.00      0.00       0  pidstat
