Linux 6.2.0-37-generic (orange) 	04/03/26 	_x86_64_	(20 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
01:22:52        0         1    0.00    0.00    0.00    0.00    0.00     6      1.98      0.00   24696   11432   0.04     -1.00     -1.00     -1.00       0  systemd
01:22:52        0       510    0.00    0.00    0.00    0.00    0.00     6     21.78      0.00  281688  145744   0.45     -1.00     -1.00     -1.00       0  systemd-journal
01:22:52        0      1548    0.99    0.99    0.00    0.00    1.98     8      0.00      0.00 2767756   29468   0.09     -1.00     -1.00     -1.00       0  containerd
01:22:52        0    596836    0.00    0.99    0.00    0.99    0.99     4      0.00      0.00   12544    2880   0.01     -1.00     -1.00     -1.00       0  sadc
01:22:52      133   1785719    0.99    0.00    0.00    0.00    0.99    10      0.00      0.00 2442348   27012   0.08     -1.00     -1.00     -1.00       0  mysqld
01:22:52     1039   2133227    0.00    0.99    0.00    0.00    0.99    16     43.56      0.00  723088   21788   0.07     -1.00     -1.00     -1.00       0  clash-linux-amd
01:22:52        0   2769692    0.99    0.00    0.00    0.00    0.99    13      0.00      0.00 3256296   31064   0.10     -1.00     -1.00     -1.00       0  snapd
01:22:52     1038   2791376    0.00    0.99    0.00    0.00    0.99    12      0.00      0.00 1282364   51456   0.16     -1.00     -1.00     -1.00       0  mihomo
01:22:52     1032   3461621    1.98    0.00    0.00    0.00    1.98    12      0.00      0.00 76617656 1290372   3.95      0.00      0.00      0.00       0  node
01:22:52     1032   3461933    0.99    0.00    0.00    0.00    0.99    12      0.00      0.00 1460932  164384   0.50      0.00      0.00      0.00       0  node
01:22:52     1032   3462184    0.00    0.99    0.00    0.00    0.99     9    134.65      0.00  642432  123468   0.38      0.00    455.45    110.89       0  codex
01:22:52     1032   3618309    0.99    0.00    0.00    0.00    0.99     4      0.00      0.00   97392   80592   0.25      0.00      0.00      0.00       0  perf-agent
01:22:52     1032   3619160    0.00    0.99    0.00    0.00    0.99     4     31.68      0.00   16448    6720   0.02      0.00      0.00      0.00       0  pidstat
