Linux 6.2.0-37-generic (orange) 	04/03/26 	_x86_64_	(20 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:53        0         1    1.00    0.00    0.00    0.00    1.00     8    664.00      0.00   24696   11752   0.04     -1.00     -1.00     -1.00       0  systemd
15:08:53        0       510    0.00    1.00    0.00    0.00    1.00    10     79.00      0.00  183084   68652   0.21     -1.00     -1.00     -1.00       0  systemd-journal
15:08:53      102      1281    1.00    0.00    0.00    0.00    1.00     2      0.00      0.00   19668   11360   0.03     -1.00     -1.00     -1.00       0  dbus-daemon
15:08:53        0    596836    0.00    1.00    0.00    0.00    1.00     8      0.00      0.00   12544    2880   0.01     -1.00     -1.00     -1.00       0  sadc
15:08:53      133   1785719    1.00    0.00    0.00    0.00    1.00    10      0.00      0.00 2442348   27012   0.08     -1.00     -1.00     -1.00       0  mysqld
15:08:53        0   2799858    3.00    0.00    0.00    0.00    3.00    10      0.00      0.00 3531816   74800   0.23     -1.00     -1.00     -1.00       0  dockerd
15:08:53    65534   2800500    1.00    0.00    0.00    0.00    1.00    16      0.00      0.00 1655968   69972   0.21     -1.00     -1.00     -1.00       0  prometheus
15:08:53     1032   3117290    0.00    1.00    0.00    0.00    1.00     8      0.00      0.00 3038680   11456   0.04      0.00      0.00      0.00       0  hdc
15:08:53     1032   3780681    0.00    0.00    0.00    0.00    0.00    12      2.00      0.00   79000   21892   0.07      0.00      0.00      0.00       0  code-cfbea10c5f
15:08:53     1032   3780740    1.00    0.00    0.00    0.00    1.00     8      2.00      0.00 11839784  115100   0.35      0.00      0.00      0.00       0  node
15:08:53     1032   3780872    0.00    0.00    0.00    0.00    0.00     4     28.00      0.00 76405300 1133136   3.47      0.00      0.00      0.00       0  node
15:08:53     1032   3780894    0.00    0.00    0.00    0.00    0.00     6      7.00      0.00 1459908  159064   0.49      0.00      0.00      0.00       0  node
15:08:53     1032   3780907    6.00    2.00    0.00    0.00    8.00     6   4682.00      0.00  631232  110996   0.34      0.00   3004.00    656.00       0  codex
15:08:53     1032   3796076    0.00    1.00    0.00    0.00    1.00     4     32.00      0.00   16316    6560   0.02      0.00      0.00      0.00       0  pidstat
