Linux 6.2.0-37-generic (orange) 	04/03/26 	_x86_64_	(20 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:45:29      108      1260    0.99    0.00    0.00    0.00    0.99    14      0.00      0.00   18712    3520   0.01     -1.00     -1.00     -1.00       0  systemd-oomd
02:45:29        0    596836    0.99    0.00    0.00    0.00    0.99     6      0.00      0.00   12544    2880   0.01     -1.00     -1.00     -1.00       0  sadc
02:45:29      133   1785719    0.00    0.99    0.00    0.00    0.99    10      0.00      0.00 2442348   27012   0.08     -1.00     -1.00     -1.00       0  mysqld
02:45:29     1039   2133227    0.99    0.00    0.00    0.00    0.99    14      0.00      0.00  723088   20728   0.06     -1.00     -1.00     -1.00       0  clash-linux-amd
02:45:29        0   2800066    0.00    0.00    0.00    0.00    0.00     8      7.92      0.00  719816   10500   0.03     -1.00     -1.00     -1.00       0  containerd-shim
02:45:29        0   2800303    0.00    0.00    0.00    0.00    0.00     4      7.92      0.00  720072   10892   0.03     -1.00     -1.00     -1.00       0  containerd-shim
02:45:29        0   2800339    0.00    0.99    0.00    0.00    0.99    10      7.92      0.00  720328   10076   0.03     -1.00     -1.00     -1.00       0  containerd-shim
02:45:29        0   2800341    0.00    0.00    0.00    0.00    0.00     6      7.92      0.00  720072   10180   0.03     -1.00     -1.00     -1.00       0  containerd-shim
02:45:29        0   2800356    0.00    0.00    0.00    0.00    0.00    10      7.92      0.00  720328   10440   0.03     -1.00     -1.00     -1.00       0  containerd-shim
02:45:29        0   2800372    0.00    0.00    0.00    0.00    0.00    14      7.92      0.00  719816   10612   0.03     -1.00     -1.00     -1.00       0  containerd-shim
02:45:29     1032   3461393    0.00    0.99    0.00    0.00    0.99     3      0.00      0.00   21156    9444   0.03     -1.00     -1.00     -1.00       0  sshd
02:45:29     1032   3461621    4.95    1.98    0.00    0.00    6.93     4    838.61      0.00 76618884 1292120   3.96      0.00    245.54      0.00       0  node
02:45:29     1032   3462184    2.97    0.00    0.00    0.00    2.97     9    520.79      0.00  646316  125764   0.39      0.00    621.78    106.93       0  codex
02:45:29        0   3626836    0.00    0.99    0.00    0.00    0.99     8      0.00      0.00       0       0   0.00     -1.00     -1.00     -1.00       0  kworker/8:2-events
02:45:29     1032   3640263    0.00    0.99    0.00    0.00    0.99     6     31.68      0.00   16448    6560   0.02      0.00      0.00      0.00       0  pidstat
